"STT","Phase","Priority","Module","Task","Owner","Deadline","Estimate","API related","Deliverable","Status","Dependencies","Notes"
"1","MVP Core","P0","Homepage","Hoan thien trang chu dang lam","FE-HOMEPAGE","2026-05-11","1 day","GET /api/v1/homepage; GET /api/v1/products; GET /api/v1/categories; GET /api/v1/settings/public","Trang chu co header, hero/banner, section san pham, category, CTA, footer, responsive mobile","In progress","Settings public; Product list; Categories","Nhan vien dang lam trang chu phai xong ngay mai"
"2","MVP Core","P0","Homepage","Gan link dieu huong tu trang chu sang flow mua hang","FE-HOMEPAGE","2026-05-11","0.5 day","GET /api/v1/products; GET /api/v1/categories","Click duoc sang /products, /products/:slug, /categories/:slug, /cart","Todo","Product Listing routes","Trang chu la entry point cua MVP"
"3","MVP Core","P0","Client Base","Tao API client dung response EC/EM/DT","FE-01","2026-05-11","0.5 day","All APIs","Co apiClient, handle error, unwrap DT, config baseURL env","Todo","Backend base URL","Dung chung cho tat ca module client"
"4","MVP Core","P0","Client Base","Tao type chung cho API response, pagination, media, product list","FE-01","2026-05-11","0.5 day","GET /api/v1/products; GET /api/v1/settings/public","Co TypeScript types dung chung","Todo","API contract","Can bam ProductListItem da thong nhat"
"5","MVP Core","P0","Layout","Header client","FE-01","2026-05-11","0.5 day","GET /api/v1/settings/public; GET /api/v1/categories","Header co logo, menu, search icon, cart icon, hotline neu can","Todo","Settings public; Categories","Phai responsive mobile"
"6","MVP Core","P0","Layout","Footer client","FE-01","2026-05-12","0.5 day","GET /api/v1/settings/public","Footer co thong tin shop, hotline, social, chinh sach co ban","Todo","Settings public","Khong chan checkout neu chua day du noi dung"
"7","MVP Core","P0","Product Listing","Trang danh sach san pham","FE-02","2026-05-12","1 day","GET /api/v1/products","Grid/list san pham hien anh, ten, gia, sale price, status, pagination","Todo","API client; Product list output","Chi lay data nhe tu list API"
"8","MVP Core","P0","Product Listing","Pagination va empty/loading/error state","FE-02","2026-05-12","0.5 day","GET /api/v1/products?page=&limit=","Co loading skeleton, empty state, error state, pagination","Todo","Product Listing","Can dung pagination trong DT"
"9","MVP Core","P0","Category Products","Trang san pham theo danh muc","FE-02","2026-05-12","0.5 day","GET /api/v1/categories; GET /api/v1/categories/:slug/products","/categories/:slug hien san pham theo danh muc","Todo","Product Listing; Categories","Co breadcrumb co ban neu kip"
"10","MVP Core","P0","Search Filter Sort","Search san pham co ban","FE-02","2026-05-13","0.5 day","GET /api/v1/products?search=","Nhap keyword va hien ket qua san pham","Todo","Product Listing","Khong lam autocomplete trong MVP neu gap"
"11","MVP Core","P0","Search Filter Sort","Filter gia va sort","FE-02","2026-05-13","0.5 day","GET /api/v1/products?minPrice=&maxPrice=&sort=","Loc gia, sort newest, price asc, price desc","Todo","Product Listing","UI don gian de kip"
"12","MVP Core","P0","Product Detail","Trang chi tiet san pham","FE-02","2026-05-13","1 day","GET /api/v1/products/:slug","Hien ten, gia, sale, SKU, mo ta ngan/dai, category/tag neu co","Todo","Product Listing routes","Detail moi lay full data"
"13","MVP Core","P0","Product Detail","Gallery anh san pham","FE-02","2026-05-13","0.5 day","GET /api/v1/products/:slug","Hien gallery, chon anh, fallback no image","Todo","Product Detail","Can dung images tu detail API"
"14","MVP Core","P0","Product Detail","Chon variant size/mau neu co","FE-02","2026-05-14","0.5 day","GET /api/v1/products/:slug","Chon variant hop le truoc khi add cart","Todo","Product Detail; Cart API","Neu API detail chua co variants thi dung flow simple truoc"
"15","MVP Core","P0","Product Detail","Nut them gio hang va mua ngay","FE-02","2026-05-14","0.5 day","POST /api/v1/cart/items","Add cart tu detail, validate quantity","Todo","Cart API client","Mua ngay co the add cart roi sang checkout"
"16","MVP Core","P0","Cart","Trang gio hang","FE-03","2026-05-13","1 day","GET /api/v1/cart","Hien danh sach item, anh, ten, variant, gia, quantity, subtotal","Todo","API client","Session cart guest"
"17","MVP Core","P0","Cart","Them san pham vao gio","FE-03","2026-05-13","0.5 day","POST /api/v1/cart/items","Them simple/variant product vao cart thanh cong","Todo","Product Detail","Backend validate stock"
"18","MVP Core","P0","Cart","Cap nhat so luong va xoa item","FE-03","2026-05-14","0.5 day","PATCH /api/v1/cart/items/:id; DELETE /api/v1/cart/items/:id","Tang/giam quantity, xoa item, refresh totals","Todo","Cart page","Co loading per item"
"19","MVP Core","P0","Cart","Clear cart va cart badge","FE-03","2026-05-14","0.5 day","DELETE /api/v1/cart; GET /api/v1/cart","Clear cart, header badge cap nhat so luong","Todo","Header; Cart page","Badge co the tinh tu cart items"
"20","MVP Core","P0","Checkout","Trang checkout form","FE-03","2026-05-15","1 day","GET /api/v1/cart; POST /api/v1/checkout","Form ho ten, phone, email, dia chi, note, payment method","Todo","Cart page","Validate client co ban"
"21","MVP Core","P0","Checkout","Review don hang truoc khi dat","FE-03","2026-05-15","0.5 day","GET /api/v1/cart","Hien item, subtotal, ship fee, total","Todo","Cart API","Khong gui total tu FE lam source of truth"
"22","MVP Core","P0","Checkout","Dat hang COD/bank transfer","FE-03","2026-05-15","0.5 day","POST /api/v1/checkout","Tao order thanh cong va redirect success","Todo","Checkout form","Hien loi neu het hang/variant invalid"
